id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,is_active,platform,cmc_rank,is_fiat,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated
1,Bitcoin,BTC,bitcoin,8924,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channels', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'galaxy-digital-portfolio', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",21000000.0,18791087.0,18791087.0,1,,1,0,2021-08-19T21:24:02.000Z,46507.21979317881,36803350568.62834,0.10549935,4.48007445,4.59346115,56.37747459,30.36870986,31.87708732,873921213261.745,43.6837,976651615656.76,2021-08-19T21:24:02.000Z
2,Litecoin,LTC,litecoin,715,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'binance-chain', 'binance-smart-chain']",84000000.0,66752614.51538747,66752614.51538747,1,,16,0,2021-08-19T21:24:02.000Z,173.85065019610238,1868672111.4250808,0.10602453,5.57370808,4.84215957,59.92621351,11.79453037,4.87039719,11604985435.789892,0.5801,14603454616.47,2021-08-19T21:24:02.000Z
74,Dogecoin,DOGE,dogecoin,386,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'binance-smart-chain', 'doggone-doggerel']",,130926176668.91444,130926176668.91444,1,,7,0,2021-08-19T21:24:03.000Z,0.3136946137611,3877174615.971736,0.25798449,5.65149869,18.79268318,82.84819442,10.66625441,-5.44276844,41070836421.37266,2.053,41070836421.37,2021-08-19T21:24:03.000Z
328,Monero,XMR,monero,161,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']",,17976391.26101739,17976391.26101739,1,,31,0,2021-08-19T21:24:04.000Z,260.0470195788617,188321378.62686327,-0.16031845,4.42475794,0.50554065,39.6494122,-1.90325314,7.66956143,4674706970.211068,0.2337,4674706970.21,2021-08-19T21:24:04.000Z
1027,Ethereum,ETH,ethereum,5581,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum', 'binance-smart-chain', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'hashkey-capital-portfolio', 'kinetic-capital', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",,117173658.4365,117173658.4365,1,,2,0,2021-08-19T21:24:02.000Z,3147.722435709182,19572240835.583008,0.01631041,4.86474651,2.64793957,75.80683674,39.66464624,41.95298071,368830153534.6955,18.4715,368830153534.7,2021-08-19T21:24:02.000Z
2010,Cardano,ADA,cardano,296,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'binance-smart-chain']",45000000000.0,32127741925.079,33027817833.801,1,,3,0,2021-08-19T21:23:08.000Z,2.35662757416706,7831088088.633684,-0.9407294,14.45783844,33.05942693,119.39526189,63.30439226,63.47350529,75713122516.36427,3.7918,106048240837.52,2021-08-19T21:23:08.000Z
1,Bitcoin,BTC,bitcoin,8924,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channels', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'galaxy-digital-portfolio', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",21000000.0,18791087.0,18791087.0,1,,1,0,2021-08-19T21:29:02.000Z,46568.89909291006,36816856825.07612,0.14560705,4.34722441,5.12344085,56.6450629,30.0847578,30.41489131,875080234349.0941,43.7955,977946880951.11,2021-08-19T21:29:02.000Z
2,Litecoin,LTC,litecoin,715,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'binance-chain', 'binance-smart-chain']",84000000.0,66752614.51538747,66752614.51538747,1,,16,0,2021-08-19T21:29:02.000Z,174.03950595129433,1867555070.6591585,0.15905315,5.41244357,5.38014812,60.15620712,11.75169756,1.28833014,11617592051.215233,0.5814,14619318499.91,2021-08-19T21:29:02.000Z
74,Dogecoin,DOGE,dogecoin,386,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'binance-smart-chain', 'doggone-doggerel']",,130926176668.91444,130926176668.91444,1,,7,0,2021-08-19T21:29:03.000Z,0.31467826650157,3888118590.246754,0.2214143,5.45390884,20.04959482,83.76467116,10.4917141,-7.0300538,41199622313.85229,2.0619,41199622313.85,2021-08-19T21:29:03.000Z
328,Monero,XMR,monero,161,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']",,17976391.26101739,17976391.26101739,1,,32,0,2021-08-19T21:29:04.000Z,260.2851234043802,188460019.87482247,-0.21813663,4.30747496,0.88720423,39.69473875,-1.84438598,5.48957288,4678987217.739333,0.2342,4678987217.74,2021-08-19T21:29:04.000Z
